source,target,value
Brad,Fawkner,600000
Jellis,Fitzroy North,1780000
Nelson,Fitzroy North,1850000
RT,Gisborne,940000
Stockdale,Glenroy,772000
Darren,Greensborough,810000
Jellis,Greensborough,890000
Morrison,Greensborough,968000
Barry,Greenvale,640000
Stockdale,Hadfield,787000
Jellis,Hawthorn,2350000
Barry,Heathmont,1540000
Barry,Heathmont,1160000
Prof.,Hillside,740000
Commercial,Hoppers Crossing,620000
Ray,Hoppers Crossing,691000
Greg,Hoppers Crossing,630000
PSP,Hoppers Crossing,531000
hockingstuart,Hoppers Crossing,600500
Miles,Ivanhoe,1950000
Nelson,Ivanhoe,2579500
Miles,Ivanhoe East,1930000
Stockdale,Jacana,600000
Brad,Kealba,800000
Nelson,Keilor East,1011000
Nelson,Keilor East,1070000
Nelson,Kensington,1390000
Marshall,Kew,2280000
Marshall,Kew,2695000
FN,Kurunjang,565000
O'Brien,Langwarrin,690000
Morrison,Lower Plenty,857500
Morrison,Lower Plenty,530000
Marshall,Malvern,3800000
Jellis,Malvern East,1400000
RT,Malvern East,2260000
Marshall,Malvern East,1455000
Marshall,Malvern East,3680000
Jellis,Malvern East,2325000
Jellis,Malvern East,700000
Abercromby's,Malvern East,2100000
Maitland,Mentone,1270000
Stockdale,Mernda,606000
Marshall,Middle Park,3150000
HAR,Mill Park,530500
HAR,Mill Park,722000
Ray,Mill Park,615000
Fletchers,Mont Albert,2320000
Nelson,Moonee Ponds,1210000
Jellis,Moonee Ponds,2025000
Nelson,Moonee Ponds,1250000
Fletchers,Mooroolbark,620000
Buxton,Mordialloc,1300000
Win,Mulgrave,880000
Sweeney,Newport,1465000
Williams,Newport,1420000
Barry,Niddrie,1275000
Nelson,Northcote,1680000
Barry,Nunawading,836000
Buxton,Oakleigh,1546000
Hodges,Ormond,1900000
Nelson,Pascoe Vale,810000
McGrath,Pascoe Vale,1170000
Point,Point Cook,715000
Ray,Point Cook,656500
hockingstuart,Prahran,1646000
Jellis,Prahran,2610000
Nelson,Preston,1265000
Nelson,Preston,1060000
Barry,Preston,650000
Jellis,Preston,860000
Nelson,Reservoir,980000
Woodards,Reservoir,990000
Love,Reservoir,610000
Real,Ringwood East,902000
Fletchers,Ringwood North,980000
Miles,Rosanna,1400000
Sweeney,Seddon,1067000
Greg,South Melbourne,1450000
HAR,South Morang,730000
HAR,South Morang,920000
Kay,South Yarra,2910000
McDonald,Strathmore,1500000
Rounds,Sunbury,475000
Raine,Sunbury,469000
YPA,Sunbury,391000
YPA,Sunbury,725000
Douglas,Sunshine,856000
Douglas,Sunshine North,821000
Douglas,Sunshine North,870500
Barry,Taylors Lakes,742000
Brad,Taylors Lakes,1136000
Jellis,Templestowe,2008000
Barry,Templestowe,1050000
Barry,Templestowe,1475000
Jellis,Templestowe,2102000
Barry,Templestowe Lower,1250000
Barry,Templestowe Lower,1155000
McGrath,Thornbury,990000
McGrath,Thornbury,1140000
McGrath,Thornbury,1192000
LLC,Wantirna,1008000
Barry,Warrandyte,1231000
Jellis,Watsonia North,952000
Barry,Werribee,470000
YPA,Werribee,545000
Greg,Werribee,454000
Barry,Wheelers Hill,2100000
Williams,Williamstown,1290000
Jas,Williamstown,2720000
Greg,Williamstown,1295000
Sweeney,Williamstown,980000
Sweeney,Williamstown,1075000
Greg,Williamstown,2400000
Gary,Windsor,1350000
hockingstuart,Wollert,745000
hockingstuart,Wollert,850000
Jas,Yarraville,2185000
Village,Yarraville,1850000
Barry,Aberfeldie,507000
Greg,Albert Park,2500000
hockingstuart,Albion,787000
Kay,Alphington,2220000
Marshall,Armadale,2385000
Biggin,Ascot Vale,1500000
hockingstuart,Ashburton,1655000
Jellis,Ashburton,2405000
Noel,Bayswater,930000
Biggin,Bayswater,700000
Ray,Bayswater,860000
Hodges,Beaumaris,1470000
Buxton,Bentleigh,1200000
hockingstuart,Bentleigh East,1620000
Buxton,Bentleigh East,1580000
Jellis,Blackburn,1695000
Ray,Bonbeach,836000
Appleby,Boronia,780000
Barry,Boronia,783000
Morrison,Briar Hill,637000
Biggin,Brighton,1175000
RT,Brighton,1935000
Hodges,Brighton East,2000000
Nelson,Brunswick,1435000
Nelson,Brunswick,1315000
Nelson,Brunswick,700000
Nelson,Brunswick,920000
Jellis,Brunswick,765000
Woodards,Brunswick,1400000
Nelson,Brunswick East,1105000
Barry,Burwood East,1032000
Sweeney,Cairnlea,821000
Fletchers,Canterbury,850000
hockingstuart,Carnegie,1570000
Woodards,Carnegie,1275000
Gary,Carnegie,1435000
Barry,Caroline Springs,600000
Buxton,Carrum,529000
Buxton,Carrum,845000
McGrath,Caulfield,650000
hockingstuart,Caulfield North,350000
Woodards,Caulfield North,665000
Buxton,Chadstone,674000
Ray,Chelsea,840000
Ray,Cheltenham,745000
O'Brien,Cheltenham,1240000
C21,Cheltenham,850000
Buxton,Clayton,1300000
Nelson,Coburg,690000
Raine,Coburg,1600000
Brad,Coburg North,690000
Jellis,Collingwood,1025000
Ray,Craigieburn,667000
Ray,Dandenong,678000
C21,Dandenong North,595000
Barry,Dandenong North,305000
Buxton,Dingley Village,816000
Barry,Doncaster,2600000
Woodards,Doncaster,1360000
Barry,Doncaster,1600000
Jellis,Doncaster East,1662000
O'Brien,Doveton,545000
Nelson,Eaglemont,750000
Gary,Elsternwick,975000
McGrath,Elwood,480000
Chisholm,Elwood,696750
Chisholm,Elwood,420000
Chisholm,Elwood,695500
R&H,Epping,540000
Harcourts,Epping,620000
Nelson,Essendon,1025000
Rendina,Essendon,1320000
Brad,Essendon,2210000
Nelson,Fawkner,700000
Ray,Fawkner,712000
hockingstuart,Fawkner,775000
O'Brien,Frankston,700000
Ray,Frankston North,452000
J,Glen Iris,1890000
Harcourts,Glen Waverley,1750000
Ray,Glen Waverley,1100000
Purplebricks,Glenroy,695000
Ray,Greensborough,817000
Barry,Greenvale,680000
Barry,Greenvale,1170000
RW,Greenvale,830000
Brad,Hadfield,827000
Stockdale,Hadfield,627000
Peter,Hawthorn,690000
Jellis,Hawthorn,1022000
RT,Hawthorn,5510000
Kay,Hawthorn,3335000
Kay,Hawthorn,560000
Jellis,Hawthorn,805000
Jellis,Hawthorn East,1875000
RT,Hawthorn East,2320000
Jellis,Hawthorn East,1465000
Philip,Heathmont,701000
Miles,Heidelberg Heights,885000
Brad,Hillside,485000
hockingstuart,Hoppers Crossing,555500
Miles,Ivanhoe,910000
Nelson,Ivanhoe,1300000
Miles,Ivanhoe East,2525000
Nelson,Keilor Park,670000
Nelson,Kensington,990000
hockingstuart,Kew,942000
Marshall,Kew,515000
Jellis,Kew East,2162000
Jellis,Kew East,2260000
C21,Keysborough,745000
Purplebricks,Kingsbury,800001
Ray,Lalor,521000
Gary,Malvern,592000
Marshall,Malvern East,1780000
Brad,Maribyrnong,585000
Biggin,Maribyrnong,1085000
Raine,Melton South,355000
Raine,Melton West,355000
Hodges,Mentone,800000
hockingstuart,Mentone,885000
Cayzer,Middle Park,2010000
Marshall,Middle Park,5600000
Harcourts,Mill Park,732000
Harcourts,Mill Park,720000
LJ,Mill Park,556500
McDonald,Moonee Ponds,1850000
Barry,Moonee Ponds,760000
Max,Mooroolbark,872000
Fletchers,Mooroolbark,730000
hockingstuart,Mordialloc,1170000
McGrath,Mount Waverley,1011000
Barry,Niddrie,1337000
JMRE,North Melbourne,970000
Nelson,Oak Park,1138000
Ray,Oakleigh East,1114000
Buxton,Oakleigh East,740000
Buxton,Oakleigh South,1120000
Thomson,Ormond,280000
Gary,Ormond,485000
Buxton,Parkdale,1315000
Woodards,Parkville,1770000
Marshall,Port Melbourne,1725000
Cayzer,Port Melbourne,665000
Jellis,Prahran,1400000
hockingstuart,Preston,1400000
Love,Preston,830000
Love,Preston,881000
McGrath,Preston,945000
Nelson,Preston,1210000
Barry,Preston,725000
Nelson,Preston,972500
Nelson,Preston,955000
Nelson,Princes Hill,1900000
Harcourts,Reservoir,521000
hockingstuart,Reservoir,857700
Barry,Reservoir,642500
Biggin,Richmond,575000
Fletchers,Ringwood East,910000
Real,Ringwood East,1200000
Ray,Roxburgh Park,425000
Hodges,Sandringham,2300000
Buxton,Sandringham,1710000
McGrath,Sandringham,2221000
LJ,Seabrook,515000
Harcourts,Seaford,540000
Sweeney,Seaholme,1360000
Biggin,Seddon,1180000
McGrath,South Kingsville,790000
Greg,South Melbourne,530000
Harcourts,South Morang,915000
Harcourts,South Morang,644000
Ray,South Morang,905000
Abercromby's,South Yarra,800000
Castran,South Yarra,2210000
Kay,South Yarra,1400000
Gary,South Yarra,535000
MICM,Southbank,422000
Considine,Strathmore,790000
Brad,Sunbury,410000
HAR,Surrey Hills,740000
Barry,Taylors Hill,680000
Jellis,Templestowe,1350000
Jellis,Templestowe Lower,1010000
Harcourts,Thomastown,740000
Woodards,Thornbury,493000
Jellis,Thornbury,1626000
Williams,Toorak,550000
hockingstuart,Toorak,682000
Harcourts,Vermont,975000
iProperty,Vermont,820000
Barry,Watsonia North,655000
Triwest,Werribee,472000
hockingstuart,Werribee,467000
Hayeswinckle,Werribee,390000
Village,West Footscray,1155000
Biggin,West Footscray,1100000
Barry,Westmeadows,540000
Harcourts,Wheelers Hill,1171000
hockingstuart,Williamstown,1900000
Barry,Yallambie,1670000
Jas,Yarraville,950000
Jellis,Armadale,599000
Nelson,Brunswick,1026000
Brad,Aberfeldie,1436000
Greg,Altona,913000
RT,Altona North,1070000
Marshall,Armadale,5100000
Buxton,Balaclava,600000
RT,Balwyn North,1950000
One,Bayswater,824000
Buxton,Bentleigh East,1470000
Harcourts,Berwick,975000
hockingstuart,Black Rock,1950000
Jellis,Blackburn North,1375000
Buxton,Box Hill,1820000
Marshall,Brighton East,2515000
hockingstuart,Brunswick,800000
Ray,Bundoora,680000
Barry,Bundoora,814000
Stockdale,Bundoora,715000
Noel,Camberwell,692500
Woodards,Carlton North,1520000
Gary,Caulfield East,1609000
O'Brien,Cheltenham,1295000
Buxton,Clayton South,575000
McDonald,Coburg,1210000
Brad,Coburg,631000
YPA,Coolaroo,457000
Fletchers,Croydon,730000
Hoskins,Croydon Hills,790000
Philip,Croydon North,857000
YPA,Dallas,477000
McLennan,Dandenong,510000
Barry,Diamond Creek,950000
Barry,Doncaster,1375000
Barry,Doncaster East,1175000
Ray,Doncaster East,1381000
Barry,Essendon,1185000
Nelson,Essendon,2100000
Nelson,Essendon North,801000
Nelson,Fairfield,1492000
Alexkarbon,Fawkner,515000
Barry,Ferntree Gully,760000
