source,target,value
Thomson,Carnegie,750000
Gary,Carnegie,286000
hockingstuart,Carnegie,580010
hockingstuart,Carnegie,1250000
O'Brien,Caroline Springs,360000
Barry,Caroline Springs,740000
Harcourts,Carrum Downs,647000
Ray,Chadstone,930000
Nelson,Coburg,760000
Woodards,Coburg,876000
Jellis,Collingwood,365000
Dixon,Collingwood,1297000
Ray,Croydon,865000
Barry,Croydon,760000
Stockdale,Croydon,725000
Barry,Croydon,1120000
Hodges,Dandenong North,930000
Barry,Deer Park,557000
Barry,Deer Park,650000
Buxton,Dingley Village,806000
Philip,Doncaster,1663000
Barry,Doncaster East,1310000
Barry,Doncaster East,1530000
Sell,Donvale,630000
Nelson,Eaglemont,1300000
O'Brien,Edithvale,1260000
Barry,Eltham,655000
Wilson,Elwood,435000
Ristic,Epping,490000
Harcourts,Epping,417500
Barry,Essendon,1398000
Ray,Ferntree Gully,664000
Nelson,Fitzroy,790000
Jellis,Fitzroy,830000
hockingstuart,Fitzroy,456000
O'Brien,Frankston,565000
Ash,Frankston South,810000
Barry,Gladstone Park,749000
Woodards,Glen Iris,260000
Thomson,Glen Iris,330000
Jellis,Glen Iris,501000
Harcourts,Glen Waverley,1070000
RW,Glenroy,700000
Nelson,Glenroy,400000
Eview,Glenroy,675000
hockingstuart,Greensborough,866000
LJ,Greenvale,800000
Eview,Hadfield,735000
Eview,Hadfield,595000
McGrath,Hampton East,771000
Stockdale,Hampton Park,400000
Jellis,Hawthorn,455000
Marshall,Hawthorn East,615888
hockingstuart,Highett,1820000
Woodards,Hughesdale,1475000
Upper,Ivanhoe,2100000
Miles,Ivanhoe,1320000
RW,Jacana,575500
Nelson,Keilor,635000
Barry,Keilor Downs,620000
Nelson,Keilor East,1005000
Nelson,Keilor Park,700000
Edward,Kensington,390000
Noel,Kew,1410000
Barry,Lalor,710500
hockingstuart,Lalor,752000
Ray,Lalor,622000
Jas,Maidstone,650000
Biggin,Maidstone,435000
hockingstuart,Maribyrnong,1340000
Barry,Meadow Heights,450000
YPA,Meadow Heights,440000
Ryder,Melton,550000
HAR,Melton,373500
Chisholm,Mentone,640000
hockingstuart,Mentone,940000
RW,Mill Park,705000
Ray,Mill Park,790000
Ray,Mill Park,704500
Ray,Mill Park,550000
Ray,Mill Park,598000
Harcourts,Mill Park,592000
Ray,Mill Park,602000
McGrath,Montrose,735000
Jellis,Moonee Ponds,1270000
iTRAK,Mooroolbark,650000
Ray,Mordialloc,1400000
hockingstuart,Mordialloc,1627000
Jellis,Mount Waverley,1850000
Buxton,Murrumbeena,1820000
Nelson,North Melbourne,785000
Fletchers,Nunawading,676000
Fletchers,Nunawading,1002000
Noel,Nunawading,1175000
Buxton,Oakleigh East,875000
HAR,Oakleigh South,774000
Buxton,Ormond,327000
Buxton,Ormond,1900000
Ray,Parkdale,2185000
Nelson,Pascoe Vale,1210000
Harcourts,Reservoir,351000
Hoskins,Ringwood,1725000
Purplebricks,Ringwood,633000
Philip,Ringwood East,1090000
HAR,Rowville,936000
Harcourts,Rowville,860000
McGrath,Sandringham,850000
Harcourts,Seaford,800000
Greg,South Melbourne,1720000
Harcourts,South Morang,690000
Iconek,South Morang,875000
Harcourts,South Morang,420000
Harcourts,South Morang,677500
Noel,South Yarra,600000
hockingstuart,South Yarra,762500
Greg,South Yarra,1855500
McGrath,Spotswood,802000
Barry,St Albans,631000
YPA,St Albans,582000
Buxton,St Kilda,468000
Chisholm,St Kilda,470000
Nelson,Strathmore,750000
Brad,Sunbury,410000
Raine,Sunbury,512500
Douglas,Sunshine,830500
Barry,Sunshine West,551000
Douglas,Sunshine West,450000
Barry,Templestowe,1635000
Barry,Templestowe Lower,1138000
Ray,The Basin,477000
Ray,Thomastown,605000
Harcourts,Thomastown,610000
Harcourts,Thomastown,580000
Harcourts,Thornbury,415000
Nelson,Thornbury,905000
TRUE,Truganina,451000
Jason,Tullamarine,895000
Stockdale,Tullamarine,586000
Ray,Wantirna South,1055000
YPA,Werribee,529000
hockingstuart,Werribee,484000
MICM,West Melbourne,670000
McGrath,West Melbourne,510000
Barry,Westmeadows,410000
Buxton,Windsor,410000
hockingstuart,Wyndham Vale,478000
Village,Yarraville,1285000
Jellis,Armadale,1435000
Jellis,Brunswick,1115000
Jellis,Brunswick,1125000
Nelson,Brunswick,855000
Ray,Brunswick,940000
Nelson,Airport West,1000001
Jellis,Alphington,1170000
hockingstuart,Altona,458000
Nelson,Ascot Vale,870000
Jellis,Ascot Vale,870000
Ray,Aspendale,780000
hockingstuart,Balwyn,2750000
Jellis,Balwyn North,2000000
One,Bayswater North,900000
Ray,Beaumaris,1354000
Fletchers,Blackburn,1390000
Nelson,Brunswick West,875000
Nelson,Brunswick West,1250000
Walshe,Brunswick West,1225000
Barry,Bulleen,980000
Ray,Bundoora,758000
Fletchers,Burwood,1750000
Harrington,Carlton,1263000
Buxton,Clayton South,985000
YPA,Craigieburn,595000
hockingstuart,Deer Park,589000
Buxton,Dingley Village,952000
Barry,Doncaster East,1600000
Mason,Doreen,481000
Buckingham,Eltham North,950000
Barry,Epping,641000
Schroeder,Ferntree Gully,797000
Jellis,Flemington,820000
Jellis,Flemington,1225000
hockingstuart,Footscray,800000
Ray,Frankston,1010000
Ray,Frankston South,830000
Raine,Gisborne,780000
Marshall,Glen Iris,2200000
Harcourts,Glen Waverley,1790000
Nelson,Glenroy,605000
Nelson,Greensborough,1000000
Barry,Hadfield,750000
Ray,Heathmont,1165000
RW,Heathmont,932000
Charlton,Highett,1550000
Reliance,Hoppers Crossing,510000
Nelson,Ivanhoe East,1535000
Daniel,Keilor,678500
Brad,Keilor Downs,720000
Nelson,Keilor East,1188000
Jas,Kingsville,1100000
Biggin,Maidstone,865000
Marshall,Malvern,1510000
Stockdale,Meadow Heights,473000
hockingstuart,Melton South,410000
Marshall,Middle Park,6400000
Darren,Mill Park,757000
Fletchers,Mitcham,1200000
Noel,Mitcham,1237000
Nelson,Moonee Ponds,1205000
Jellis,Moonee Ponds,1240000
Fletchers,Mooroolbark,720000
Sweeney,Newport,1567000
Nelson,Niddrie,1370000
Gardiner,North Warrandyte,902000
Nelson,Northcote,1685000
Barry,Oakleigh,1495000
Buxton,Oakleigh South,1110000
Buxton,Ormond,1103000
Greg,Port Melbourne,1845000
Cayzer,Port Melbourne,1000000
hockingstuart,Prahran,1650000
hockingstuart,Reservoir,755000
Jellis,Richmond,1525000
Jellis,Richmond,592000
hockingstuart,Ringwood,1040000
Philip,Ringwood East,800000
Fletchers,Rosanna,1800000
YPA,Roxburgh Park,580500
hockingstuart,Sandringham,2700000
Marshall,Sandringham,2290000
Buxton,Sandringham,1725000
hockingstuart,Seaford,770000
Marshall,South Melbourne,1355000
The,South Morang,540000
Douglas,Sunshine North,770000
Marshall,Surrey Hills,3625000
Barry,Templestowe Lower,1585000
Ray,Wantirna,925000
Ray,Waterways,1232000
hockingstuart,Werribee,621000
hockingstuart,Wollert,730000
Village,Yarraville,800000
hockingstuart,Yarraville,1100000
Nelson,Airport West,776000
Barry,Airport West,1220000
RT,Altona North,835000
Sweeney,Altona North,860000
Barry,Ardeer,740000
Raine,Ascot Vale,1800000
Nelson,Ascot Vale,1400000
Marshall,Ashburton,2350000
Buxton,Ashwood,1360000
hockingstuart/hockingstuart,Aspendale,1070000
Ray,Aspendale Gardens,867500
Barry,Attwood,820000
Barry,Attwood,915000
Moonee,Avondale Heights,970000
hockingstuart,Balaclava,1170000
Fletchers,Balwyn,2650000
Jellis,Balwyn North,2100000
Buxton,Bentleigh,1300000
Buxton,Bentleigh,1750000
Woodards,Bentleigh East,1240000
Woodards,Bentleigh East,1430000
Ray,Blackburn,1050000
Fletchers,Blackburn North,1030000
hockingstuart,Brighton,2520000
Buxton,Brighton East,2100000
Love,Broadmeadows,500000
Barry,Bundoora,755000
Barry,Bundoora,770000
Jellis,Camberwell,1660000
RT,Camberwell,1300000
RT,Camberwell,1625000
Gary,Caulfield South,1352000
Ray,Chelsea Heights,745500
hockingstuart/hockingstuart,Chelsea Heights,686000
Hodges,Cheltenham,1800000
Buxton,Cheltenham,1150000
Nelson,Coburg,1050000
Nelson,Coburg,900000
HAR,Craigieburn,515000
Barry,Craigieburn,610000
RE,Craigieburn,565100
Ray,Craigieburn,516000
Barry,Croydon,850000
Barry,Delahey,600000
Philip,Donvale,1201000
hockingstuart,Donvale,802000
Philip,Donvale,1105000
Love,Doreen,510000
hockingstuart,Elsternwick,1459000
Barry,Epping,619000
Iconek,Epping,585000
Ray,Epping,552000
Schroeder,Ferntree Gully,880000
Nelson,Fitzroy North,2540000
Nelson,Fitzroy North,1650000
Nelson,Flemington,1300000
Gunn&Co,Footscray,1225000
Fletchers,Forest Hill,1200000
Aquire,Frankston,550000
O'Brien,Frankston,642000
O'Brien,Frankston,599000
O'Brien,Frankston,585000
Purplebricks,Frankston North,500000
Barry,Gladstone Park,721500
Boran,Glenroy,810000
Brad,Glenroy,685000
Barry,Greenvale,880000
YPA,Greenvale,685000
Buxton,Hampton,3100000
Buxton,Hampton East,1700000
Buxton,Hampton East,1175000
Buxton,Hampton East,1347000
Jellis,Hawthorn,1660000
Barry,Hillside,610000
Barry,Hoppers Crossing,570000
Miles,Ivanhoe,1200000
C21,Kealba,600000
Barry,Keilor Downs,780000
Barry,Keilor East,925000
Nelson,Keilor East,850000
Nelson,Keilor East,740000
Nelson,Kensington,1760000
Marshall,Kew,5200000
Jellis,Kew,3275000
McGrath,Keysborough,970000
Barry,Kings Park,526000
Ray,Lalor,695000
HAR,Lalor,676000
hockingstuart,Malvern East,2180000
Marshall,Malvern East,1620000
Nelson,Maribyrnong,1190000
Nelson,Maribyrnong,1770000
Buxton,McKinnon,1312000
PRDNationwide,Melton South,420000
RW,Mernda,525000
RE,Mickleham,1225000
Marshall,Middle Park,1515000
Millership,Mill Park,671000
HAR,Mill Park,660000
Ray,Mill Park,730000
Ray,Mitcham,2305000
Nelson,Moonee Ponds,1400000
Barry,Niddrie,1250000
Ray,Officer,563000
Gary,Ormond,1370000
O'Brien,Pakenham,571000
Just,Pakenham,480000
Buxton,Parkdale,1140000
Brad,Pascoe Vale,1110000
LJ,Point Cook,655000
Greg,Port Melbourne,1200000
Marshall,Port Melbourne,2725000
McGrath,Preston,1500000
RW,Preston,1081000
hockingstuart,Reservoir,980000
Biggin,Richmond,2200000
Barry,Ringwood,1230000
Fletchers,Ringwood East,1675000
Ray,Roxburgh Park,431000
Barry,Roxburgh Park,575000
Buxton,Sandringham,2200000
hockingstuart/hockingstuart,Seaford,850000
Harcourts,Skye,520000
Morrison,South Morang,870000
Stockdale,South Morang,621000
HAR,South Morang,612000
Purplebricks,St Albans,660000
Bells,St Albans,620000
Barry,St Albans,620000
Nelson,Strathmore,1400000
Nelson,Strathmore Heights,800000
Barry,Sunbury,675000
L,Sunbury,367000
Raine,Sunbury,465000
Jas,Sunshine,975000
Barry,Taylors Lakes,836000
Barry,Taylors Lakes,725000
Noel,Templestowe,1950000
Ray,Thomastown,657000
HAR,Thomastown,645000
Jellis,Thornbury,1250000
Barry,Vermont,1160000
Fletchers,Vermont,903000
Harcourts,Vermont,1595000
hockingstuart,Wantirna,812000
Darren,Watsonia,850000
Barry,Werribee,620000
Barry,Werribee,627500
Ray,Werribee,880000
Sweeney,West Footscray,857500
Sweeney,Williamstown,1285000
Greg,Williamstown,2065000
Williams,Williamstown North,1615000
HAR,Wollert,609000
Iconek,Wollert,540000
HAR,Wollert,615000
YPA,Wyndham Vale,632000
LJ,Wyndham Vale,415000
hockingstuart,Wyndham Vale,600000
Williams,Altona,970000
Buxton,Bentleigh East,700000
Buxton,Bentleigh East,1751000
Noel,Blackburn South,1030000
Nelson,Brunswick,1005000
Nelson,Brunswick East,1190000
Jellis,Brunswick West,1250000
Nelson,Coburg North,940000
YPA,Craigieburn,620000
YPA,Craigieburn,520000
Ray,Craigieburn,385000
YPA,Dallas,515000
Barry,Doncaster,885000
YPA,Doreen,622000
Rendina,Essendon,1715000
O'Brien,Hillside,680000
Barry,Hoppers Crossing,795000
Sweeney,Hoppers Crossing,556000
Ray,Kealba,610000
YPA,Keilor Downs,665000
Village,Kingsville,1020000
Ray,Lalor,625000
Biggin,Maribyrnong,765000
YPA,Meadow Heights,587000
Stockdale,Mernda,610000
Ray,Mill Park,825000
Nelson,Moonee Ponds,1285000
Win,Mulgrave,842000
Harcourts,Narre Warren,652000
O'Brien,Narre Warren,495000
Barry,Nunawading,970000
LJ,Point Cook,733000
hockingstuart,Point Cook,697000
LJ,Point Cook,631500
Greg,Port Melbourne,1950000
Ray,Rosanna,1210000
LJ,Sandhurst,640000
Property,Seaford,800000
Skad,South Morang,652000
Barry,Sunbury,610000
hockingstuart,Tarneit,516000
Barry,Taylors Hill,735000
Ray,Templestowe Lower,1150000
Nelson,Thornbury,1850000
Barry,Truganina,607000
One,Truganina,611000
Ray,Truganina,557500
Stockdale,Upwey,1075000
Barry,Wantirna South,1371000
YPA,Werribee,470000
Jellis,Alphington,1575000
Reliance,Altona Meadows,761000
C21,Berwick,780000
@Realty,Broadmeadows,650000
Eview,Broadmeadows,698000
Collins,Brunswick,1320000
Nelson,Coburg,975000
Ray,Craigieburn,660000
Barry,Craigieburn,455000
Ray,Craigieburn,583000
Ray,Craigieburn,613500
LJ,Craigieburn,740000
Ray,Craigieburn,700000
Barry,Craigieburn,562500
FN,Dallas,510000
FN,Dallas,520000
Le,Dandenong North,642500
Jellis,Doncaster,2250000
Barry,Doncaster East,1200000
Buckingham,Eltham,1230000
Ray,Epping,589500
Raine,Gladstone Park,619500
Barry,Glen Waverley,815000
Eview,Glenroy,876500
RW,Glenroy,680000
Stockdale,Glenroy,777777
HAR,Greenvale,675000
Miles,Heidelberg,588000
Sweeney,Hoppers Crossing,428000
Nelson,Keilor East,1000000
Noel,Lysterfield,730000
PRDNationwide,Melton South,380000
LITTLE,Mernda,610000
HAR,Mill Park,780000
HAR,Mill Park,763000
Ray,Mulgrave,845000
Jellis,Northcote,1700000
Jellis,Northcote,1660000
O'Brien,Pakenham,510000
hockingstuart,Point Cook,640000
Point,Point Cook,516000
Ray,Reservoir,460000
Ray,Reservoir,650000
YPA,Roxburgh Park,705000
Raine,Roxburgh Park,622000
Sweeney,Tarneit,610000
YPA,Taylors Hill,700000
Barry,Wantirna South,1180501
hockingstuart,Wollert,740000
hockingstuart,Armadale,280000
Nelson,Brunswick,750000
Nelson,Brunswick,1056000
hockingstuart,Armadale,592500
Dingle,Brunswick,880000
Nelson,Brunswick,1222500
Nelson,Brunswick,955000
Barry,Aberfeldie,1150000
Barry,Albanvale,560000
Marshall,Albert Park,3000000
FN,Altona North,840000
Raine,Ascot Vale,1365000
Moonee,Avondale Heights,1100000
LITTLE,Avondale Heights,790000
Jellis,Balwyn North,3200000
Hodges,Beaumaris,1957500
Ray,Beaumaris,2700000
Ray,Beaumaris,1776000
Ray,Bentleigh East,886000
Jellis,Bentleigh East,1160000
Philip,Blackburn,1790000
hockingstuart,Bonbeach,1120000
RT,Box Hill,1875000
Marshall,Brighton,4400000
YPA,Broadmeadows,605000
Nelson,Brunswick East,907000
Raine,Brunswick West,1085000
Barry,Bundoora,1755000
YPA,Burnside,665000
YPA,Burnside,620000
Barry,Burnside Heights,575000
Nelson,Carlton North,1650000
RT,Carrum,712500
Ray,Chelsea Heights,872500
C21,Clarinda,862000
Brad,Coburg,1270000
Ray,Craigieburn,530000
YPA,Craigieburn,570000
Ray,Croydon North,887000
Barry,Dallas,480888
Del,Dandenong,760000
O'Brien,Dandenong North,792000
Calder,Delahey,600000
Raine,Diggers Rest,501000
Jellis,Doncaster,1500000
Fletchers,Doncaster,2900000
Jellis,Doncaster East,1268000
Jellis,Doncaster East,1128000
Jellis,Donvale,1280000
HAR,Doreen,578000
Buckingham,Eltham,916500
Stockdale,Ferntree Gully,840000
Nelson,Fitzroy,2790000
Jellis,Forest Hill,1120000
Jellis,Glen Waverley,1950000
Harcourts,Glen Waverley,1100000
Buxton,Hampton East,1467000
Barry,Hoppers Crossing,551500
YPA,Hoppers Crossing,585000
Barry,Hughesdale,1407000
Nelson,Ivanhoe,1465000
Miles,Ivanhoe,1865000
Nelson,Keilor East,810000
Barry,Keilor East,965000
Marshall,Kew,2000000
McGrath,Kilsyth,906000
Compton,Maidstone,875000
PRDNationwide,Melton,710000
hockingstuart,Melton South,580000
Raine,Melton West,356000
Upside,Mentone,825000
RW,Mernda,550000
Ray,Mill Park,660000
Ray,Mill Park,665000
Jellis,Mount Waverley,1300000
Ray,Mulgrave,1375000
Woodards,Murrumbeena,1450000
RT,Newport,1230000
Jellis,Oak Park,1390000
Jellis,Oakleigh East,997000
Buxton,Oakleigh South,1175000
Reliance,Point Cook,673000
Marshall,Port Melbourne,1670000
hockingstuart,Prahran,1000000
Nelson,Reservoir,570000
Nelson,Reservoir,821000
Nelson,Reservoir,1076000
Jellis,Richmond,1400000
Stockdale,Roxburgh Park,570000
Raine,Roxburgh Park,610000
RW,Roxburgh Park,577500
MICM,Seabrook,759000
Ray,South Morang,520000
RT,South Yarra,1640000
Jellis,South Yarra,1560000
Purplebricks,St Albans,680000
Wilson,St Kilda,2102000
McDonald,Strathmore,1640000
Raine,Sunbury,480000
Ray,Sunbury,840000
Jas,Sunshine West,748000
Sweeney,Sunshine West,910500
Jellis,Surrey Hills,3075000
O'Brien,Taylors Hill,675000
Barry,Templestowe Lower,1500000
McGrath,Templestowe Lower,1506000
HAR,Thomastown,665000
Nelson,Thornbury,1720000
Jellis,Thornbury,830000
Nelson,Tullamarine,700000
Barry,Vermont South,1320000
OBrien,Wantirna South,1250000
OBrien,Wantirna South,1050000
Barry,Werribee,490500
YPA,Werribee,545000
FN,Werribee,547000
YPA,Westmeadows,755000
Reliance,Williams Landing,850000
Barlow,Williamstown,1800000
Love,Wollert,880000
Buckingham,Yallambie,990000
Barry,Yallambie,781000
Village,Yarraville,850000
Nelson,Abbotsford,1635000
Barlow,Altona,1225000
Barlow,Altona,767000
Purplebricks,Altona Meadows,810000
hockingstuart,Armadale,821000
Jellis,Ashburton,1520000
Jellis,Ashburton,2299500
Fletchers,Balwyn,2360000
hockingstuart,Balwyn North,1460000
Buxton,Bentleigh,1280000
Buxton,Bentleigh,1750000
Noel,Blackburn,1100000
Jellis,Blackburn North,1250000
Buckingham,Briar Hill,830000
Buxton,Brighton,4050000
Marshall,Brighton,2210000
Buxton,Brighton East,1680000
Hodges,Brighton East,890000
Ray,Broadmeadows,632000
Nelson,Brunswick,1310000
Jellis,Brunswick West,1500000
Jellis,Bulleen,1751000
Morrison,Bundoora,685000
Barry,Bundoora,725000
Barry,Bundoora,505000
Ray,Bundoora,1253000
Fletchers,Burwood,1390000
Kay,Canterbury,2725000
Barry,Caroline Springs,870000
O'Brien,Carrum Downs,552500
Marshall,Caulfield North,1925000
Woodards,Chadstone,995000
Barry,Cheltenham,1200000
Woodards,Clarinda,1241000
Ray,Clayton,1250000
Nelson,Clayton,729500
Jellis,Collingwood,560000
Ray,Craigieburn,565000
YPA,Craigieburn,615000
Stockdale,Craigieburn,548000
Stockdale,Craigieburn,716000
Fletchers,Croydon,730000
Jellis,Croydon North,766000
Fletchers,Deepdene,1680000
YPA,Delahey,475000
Morrison,Diamond Creek,815000
Leading,Diggers Rest,615000
Jellis,Donvale,1328000
Caine,East Melbourne,1300000
Jellis,Eltham,762000
Fletchers,Eltham North,900000
Marshall,Elwood,3175000
Biggin,Elwood,520000
Nelson,Essendon,2165000
Bullen,Essendon,2050000
Nelson,Essendon,1500000
Jellis,Fitzroy,545000
Nelson,Fitzroy North,1705000
Nelson,Flemington,1220000
Jas,Footscray,455000
Nelson,Footscray,575000
Raine,Gisborne,775000
Barry,Gladstone Park,629000
Marshall,Glen Iris,3400000
Jellis,Glen Iris,320000
Marshall,Glen Iris,2165000
Marshall,Glen Iris,851000
Harcourts,Glen Waverley,1311000
Nelson,Glenroy,565000
Barry,Glenroy,770000
Barry,Greensborough,714000
Nelson,Greensborough,815000
Buxton,Hampton East,1345000
hockingstuart,Hawthorn,420000
Jellis,Hawthorn,1857000
Jellis,Hawthorn,1425000
Jellis,Hawthorn,1910000
Marshall,Hawthorn,1485000
Noel,Hawthorn East,505000
Ray,Heathmont,912000
Mason,Heidelberg,450000
Fletchers,Heidelberg Heights,1645000
YPA,Hillside,580000
Barry,Hughesdale,1570000
Mason,Hurstbridge,790000
Morrison,Jacana,550000
Nelson,Kensington,1225000
Marshall,Kew,1510000
Nelson,Kew,1007000
Jellis,Kew,860000
Jas,Kingsville,570000
Jas,Kingsville,900000
Reliance,Kurunjang,345000
Biggin,Maidstone,642500
Biggin,Maidstone,798000
Jas,Maidstone,710000
Hodges,Malvern,4050000
Marshall,Malvern,1650000
Marshall,Malvern,2020000
Jellis,Malvern East,2500000
RT,Malvern East,2500000
Biggin,Maribyrnong,1200000
Biggin,Maribyrnong,940000
Buxton,McKinnon,1200000
hockingstuart,Melton West,600000
Greg,Mentone,2025000
Love,Mernda,630000
Jellis,Moonee Ponds,1225000
Buxton,Mordialloc,1800000
Fletchers,Mount Waverley,900000
McGrath,Mount Waverley,2558000
Williams,Newport,730000
Barry,Niddrie,1230000
Ray,Oakleigh South,601000
Woodards,Ormond,370000
Nelson,Pascoe Vale,900000
Brad,Pascoe Vale,257500
Brad,Pascoe Vale,257500
Brad,Pascoe Vale,1114000
LJ,Point Cook,520000
Chisholm,Port Melbourne,760000
Jellis,Prahran,2635000
Biggin,Prahran,1250000
hockingstuart,Prahran,400000
Marshall,Prahran,4200000
hockingstuart,Prahran,626000
Nelson,Preston,1148000
Nelson,Reservoir,935000
Stockdale,Reservoir,510000
Ray,Reservoir,755000
Nelson,Reservoir,1200000
RW,Ringwood,800000
Miles,Rosanna,1170000
hockingstuart,Scoresby,870000
Greg,South Melbourne,1800000
Love,South Morang,485000
Kay,South Yarra,1350000
Jellis,South Yarra,410000
McGrath,St Kilda,701000
Gary,St Kilda,1600000
Nelson,Strathmore,2000000
Considine,Strathmore,1610000
S&L,Sunshine,700000
Barry,Sunshine,615000
Fletchers,Surrey Hills,2400000
Purplebricks,Tarneit,505000
Reliance,Tarneit,560000
Barry,Templestowe,1205000
Ray,Templestowe,1750000
Barry,Templestowe Lower,1410000
HAR,Thomastown,670000
Scott,Toorak,1860000
Castran,Toorak,1350000
hockingstuart,Vermont,980000
Ray,Werribee,455000
YPA,Werribee,455000
Jas,West Footscray,1276000
Barry,Wheelers Hill,1157000
Barry,Wheelers Hill,1100000
YPA,Wyndham Vale,500000
Nelson,Yarraville,1142000
Sweeney,Yarraville,780000
Marshall,Armadale,1210000
Marshall,Armadale,2801000
Jellis,Brunswick,587000
Nelson,Brunswick,1060000
Jellis,Brunswick,890000
Jellis,Brunswick,1385000
Nelson,Brunswick,981000
Harcourts,Brunswick,418000
Jellis,Brunswick,685000
Jellis,Brunswick,976000
RW,Brunswick,641000
Nelson,Airport West,730000
Barry,Airport West,770000
Nelson,Airport West,805000
Marshall,Albert Park,1330000
Greg,Albert Park,3600000
Miles,Alphington,1550000
Barry,Ardeer,615000
Marshall,Armadale,1895000
Brad,Ascot Vale,1635000
Marshall,Ashburton,2005000
Nelson,Avondale Heights,785000
Ray,Balwyn,1425000
Fletchers,Balwyn,3600000
Jellis,Balwyn North,1500000
Fletchers,Balwyn North,1500000
Collings,Bellfield,1113000
Woodards,Bentleigh,1630000
Jellis,Bentleigh,1730000
Jellis,Bentleigh,2260000
Woodards,Bentleigh East,1160000
Jellis,Bentleigh East,1000000
C21,Berwick,530000
Flannagan,Briar Hill,785000
Nelson,Brunswick,1150000
Greg,Camberwell,1700000
Woodards,Carlton North,1650000
Gary,Caulfield South,1655000
Buxton,Cheltenham,1255000
Chisholm,Cheltenham,860000
Buxton,Clayton South,955000
Nelson,Coburg,1222000
Nelson,Coburg,990000
RW,Coolaroo,555000
RW,Coolaroo,451000
Barry,Craigieburn,473000
Ray,Craigieburn,720000
Ray,Craigieburn,568000
Jellis,Croydon,880000
Ray,Croydon,855000
Jellis,Croydon North,1175000
YPA,Dallas,506000
Fletchers,Doncaster,1351000
Barry,Doncaster East,1330000
hockingstuart,Donvale,1070000
Biggin,Elsternwick,3050000
Win,Endeavour Hills,685000
Ray,Epping,621000
Love,Epping,631000
Stockdale,Fawkner,840000
Brad,Fawkner,775000
Jellis,Footscray,860000
Greg,Footscray,1450000
Douglas,Footscray,868000
Harcourts,Forest Hill,1190000
Buxton,Forest Hill,1088000
Raine,Gisborne,820000
Brad,Gladstone Park,610000
Ray,Glen Waverley,2670000
Barry,Glenroy,752000
Morrison,Greensborough,700000
Buckingham,Greensborough,652000
Buxton,Hampton,2095000
RT,Hawthorn,2800000
Greg,Hoppers Crossing,525000
YPA,Hoppers Crossing,565000
Barry,Hughesdale,1250000
YPA,Jacana,570000
YPA,Keilor Downs,700000
Jellis,Keilor East,915000
Barry,Keilor East,990000
Nelson,Keilor East,700000
Marshall,Kew,1720000
Jellis,Kew East,2000000
Jellis,Kew East,1850000
HAR,Lalor,685500
Nelson,Maribyrnong,1190000
Ryder,Melton South,450000
hockingstuart,Melton West,530000
hockingstuart,Melton West,630000
Barry,Mentone,950000
Chisholm,Mentone,1800000
Barry,Mernda,460000
HAR,Mernda,517500
Greg,Middle Park,6370000
RW,Mill Park,660000
Ray,Mitcham,1104000
Stockdale,Montmorency,841000
Fletchers,Mount Waverley,1775000
@Realty,Mount Waverley,1650000
Fletchers,Mount Waverley,2820000
Noel,Mount Waverley,1375000
Ray,Mulgrave,1000000
Williams,Newport,1017500
Nelson,Northcote,1150000
Woodards,Northcote,2750000
Brad,Oak Park,780000
Ray,Oakleigh,1828000
iTRAK,Pakenham,493000
Brad,Pascoe Vale,710000
Point,Point Cook,711500
hockingstuart,Point Cook,800000
Greg,Port Melbourne,2926000
Buxton,Port Melbourne,2160000
hockingstuart,Preston,850000
Ray,Reservoir,725000
Biggin,Richmond,1750000
Jellis,Richmond,1100000
Harcourts,Rowville,865000
Ray,Roxburgh Park,675000
Eview,Seaford,890000
HAR,South Morang,710000
The,South Morang,520000
Considine,Strathmore,1310000
Brad,Strathmore,1310000
RW,Sunshine North,750000
S&L,Sunshine West,590000
Barry,Sunshine West,765000
Pagan,Taylors Lakes,780000
Ray,Thomastown,850000
hockingstuart,Thomastown,720000
Jellis,Thornbury,1370000
Jason,Tullamarine,735000
Miles,Viewbank,1240000
iTRAK,Wantirna,1003000
iTRAK,Wantirna South,945000
hockingstuart,Werribee,510000
Alexkarbon,West Melbourne,2371000
YPA,Westmeadows,620000
Barry,Wheelers Hill,1170000
Barry,Wheelers Hill,1540000
Greg,Williamstown,2350000
Sweeney,Yarraville,1200000
Barlow,Altona,935000
hockingstuart,Altona,815000
Barlow,Altona North,451500
McDonald,Ascot Vale,825000
Brad,Ascot Vale,425500
Jellis,Ascot Vale,1306000
Fletchers,Ashwood,1420000
Buxton,Aspendale,805000
Moonee,Avondale Heights,934000
Jellis,Balwyn,2330000
Ray,Bayswater North,762000
Jellis,Blackburn,1070000
Hoskins,Blackburn North,706000
iTRAK,Boronia,785000
iTRAK,Boronia,950000
hockingstuart,Brighton,2800000
Greg,Brighton,290000
YPA,Broadmeadows,570500
YPA,Broadmeadows,631000
hockingstuart,Brooklyn,372100
Nelson,Brunswick,1350000
Jellis,Brunswick East,702500
Jellis,Brunswick West,275000
Nelson,Brunswick West,835000
Darren,Bundoora,710000
Ray,Carnegie,1840000
Ray,Carnegie,430000
O'Brien,Carrum,495000
Harcourts,Carrum Downs,403500
hockingstuart,Caulfield North,361000
Jellis,Chadstone,960000
Nelson,Coburg,900000
Jellis,Collingwood,365000
Ray,Craigieburn,310000
hockingstuart,Croydon,662000
YPA,Delahey,560000
Buxton,Dingley Village,802000
Ray,Dingley Village,800000
